1file_id	2sample	3DNA_code	4species	5pop_code	6pop_name	7LONG	8LAT	9server	10path	11sorted
CAR11_07_DNA777	CAR11_07	777	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0978/C14ERACXX_5/IX0978_C14ERACXX_5_CAACTA.bam	unsorted
CAR11_09_DNA788	CAR11_09	788	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0986/D18W4ACXX_8/IX0986_D18W4ACXX_8_ATAATT.bam	unsorted
CAR11_11_DNA787	CAR11_11	787	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0976/C14ERACXX_3/IX0976_C14ERACXX_3_ACGATA.bam	unsorted
CAR11_12_DNA781	CAR11_12	781	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0975/C14ERACXX_2/IX0975_C14ERACXX_2_TACAGC.bam	unsorted
CAR11_13_DNA782	CAR11_13	782	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0986/D18W4ACXX_8/IX0986_D18W4ACXX_8_TGCCAT.bam	unsorted
CAR11_14_DNA783	CAR11_14	783	PBAL	CAR	Carnduff	101.8333333	101.8333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-11-22/IX0979/D18W4ACXX_1/IX0979_D18W4ACXX_1_ATGTCA.bam	unsorted
CAR11_02_DNA987	CAR11_02	987	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1909/C2F5EACXX_4/IX1909_C2F5EACXX_4_AGTCAA.bam	unsorted
DENC17_4	DENC17-4	NA	PTRI	DENC	Dean	126.8	52.83333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-09_BESC/DENC-17-4.bam	sorted
GRA3_DNA231	GRA3	231	PBAL	GRA	Grand_Rapids	99.33333333	99.33333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX978/C0KV7ACXX_5/INX978_C0KV7ACXX_5_CATTTT.bam	unsorted
HOMD21_4	HOMD21-4	NA	PTRI	HOMD	Homathko	124.8333333	51.28333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-09_BESC/HOMD-21-4.bam	sorted
KLND20_2	KLND20-2	NA	PTRI	KLND	Klinaklini	125.5	51.56666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-08-05/KLND-20-2.bam	sorted
KLND20_3	KLND20-3	NA	PTRI	KLND	Klinaklini	125.5	51.56666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-08-05/KLND-20-3.bam	sorted
KUU09_DNA515	KUU09	515	PBAL	KUU	Kuujjuaq	68.65	68.65	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-26/IX0374/C0W11ACXX_7/IX0374_C0W11ACXX_7_GATATA.bam	unsorted
LAR9_DNA234	LAR9	234	PBAL	LAR	La_Ronge	105.6333333	105.6333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX979/C0KV7ACXX_6/INX979_C0KV7ACXX_6_CGGAAT.bam	unsorted
LOV1_DNA346	LOV1	346	PBAL	LOV	Love	104.15	53.63333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0340/C0T20ACXX_4/IX0340_C0T20ACXX_4_GTAGAG.bam	unsorted
LOV10_DNA952	LOV10	952	PBAL	LOV	Love	104.1333333	53.63333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-02/IX1913/C2F5EACXX_8/IX1913_C2F5EACXX_8_AGAAGA.bam	unsorted
LOV11_DNA301	LOV11	301	PBAL	LOV	Love	104.1333333	53.63333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-15/IX0375/D15UAACXX_2/IX0375_D15UAACXX_2_GATCAG.bam	unsorted
LOV12_DNA1122	LOV12	1122	PBAL	LOV	Love	104.15	53.63333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2037/C2P8KACXX_1/IX2037_C2P8KACXX_1_GTAGAG.bam	unsorted
LOV13_DNA1157	LOV13	1157	PBAL	LOV	Love	104.15	53.63333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-30/IX2035/C2P5YACXX_7/IX2035_C2P5YACXX_7_AAAGCA.bam	unsorted
LOV15_DNA954	LOV15	954	PBAL	LOV	Love	104.15	53.63333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1903/C2F5GACXX_5/IX1903_C2F5GACXX_5_ATCTAT.bam	unsorted
LOV2_DNA682	LOV2	682	PBAL	LOV	Love	104.15	53.63333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0844/D17UBACXX_7/IX0844_D17UBACXX_7_GTAGAG.bam	unsorted
LOV3_DNA683	LOV3	683	PBAL	LOV	Love	104.15	53.63333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0850/D18MNACXX_8/IX0850_D18MNACXX_8_ACAGTG.bam	unsorted
LOV4_DNA299	LOV4	299	PBAL	LOV	Love	104.1333333	53.63333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-15/IX0375/D15UAACXX_2/IX0375_D15UAACXX_2_ATCACG.bam	unsorted
LOV6_DNA807	LOV6	807	PBAL	LOV	Love	104.1333333	53.63333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0988/D1C4AACXX_6/IX0988_D1C4AACXX_6_GTAGAG.bam	unsorted
LOV7_DNA808	LOV7	808	PBAL	LOV	Love	104.1333333	53.63333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0975/C14ERACXX_2/IX0975_C14ERACXX_2_ACAGTG.bam	unsorted
LOV8_DNA950	LOV8	950	PBAL	LOV	Love	104.1333333	53.63333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1909/C2F5EACXX_4/IX1909_C2F5EACXX_4_AAAGCA.bam	unsorted
LOV9_DNA951	LOV9	951	PBAL	LOV	Love	104.1333333	53.63333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1907/C2F5EACXX_2/IX1907_C2F5EACXX_2_AATAGG.bam	unsorted
MIN9_DNA236	MIN9	236	PBAL	MIN	Minnedosa	99.78333333	99.78333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX979/C0KV7ACXX_6/INX979_C0KV7ACXX_6_GATATA.bam	unsorted
NWL11_03_DNA784	NWL11_03	784	PBAL	NWL	Norman_Wells	126.6833333	126.6833333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0989/D1C4AACXX_7/IX0989_D1C4AACXX_7_TTAGGC.bam	unsorted
NWL11_05_DNA778	NWL11_05	778	PBAL	NWL	Norman_Wells	126.6833333	126.6833333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0986/D18W4ACXX_8/IX0986_D18W4ACXX_8_CCACGC.bam	unsorted
NWL11_06_DNA779	NWL11_06	779	PBAL	NWL	Norman_Wells	126.6833333	126.6833333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0976/C14ERACXX_3/IX0976_C14ERACXX_3_CTATAC.bam	unsorted
NWL11_08_DNA785	NWL11_08	785	PBAL	NWL	Norman_Wells	126.6833333	126.6833333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0984/D18W4ACXX_6/IX0984_D18W4ACXX_6_GGCTAC.bam	unsorted
NWL11_10_DNA780	NWL11_10	780	PBAL	NWL	Norman_Wells	126.6833333	126.6833333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-11-21/IX0996/D1CLLACXX_8/IX0996_D1CLLACXX_8_GCAAGG.bam	unsorted
NWL11_12_DNA786	NWL11_12	786	PBAL	NWL	Norman_Wells	126.6833333	126.6833333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0987/D1C4AACXX_5/IX0987_D1C4AACXX_5_AAGACT.bam	unsorted
Pt13020402_DNA1177	Pt13020402	1177	PTRI	NA	#N/A	41.147895	122.315689	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-30/IX2032/C2P5YACXX_4/IX2032_C2P5YACXX_4_TCGAAG.bam	unsorted
Pt13020404_DNA1178	Pt13020404	1178	PTRI	NA	#N/A	41.147362	122.323569	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-30/IX2032/C2P5YACXX_4/IX2032_C2P5YACXX_4_TTCTCC.bam	unsorted
Pt13020501_DNA1179	Pt13020501	1179	PTRI	NA	#N/A	44.655976	123.059431	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2048/C2PVTACXX_4/IX2048_C2PVTACXX_4_CAGATC.bam	unsorted
Pt13020502_DNA1180	Pt13020502	1180	PTRI	NA	#N/A	46.041109	122.856638	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2048/C2PVTACXX_4/IX2048_C2PVTACXX_4_AAATGC.bam	unsorted
Pt13020503_DNA1181	Pt13020503	1181	PTRI	NA	#N/A	47.038815	122.886937	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2048/C2PVTACXX_4/IX2048_C2PVTACXX_4_ACAAAC.bam	unsorted
Raju_Feb_14_2012_DNA611	Raju_Feb_14_2012	611	PANG	#NA	#NA	#NA	#NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-20/IX0396/C10F0ACXX_7/IX0396_C10F0ACXX_7_ACTTGA.bam	unsorted
