1file_id	2sample	3DNA_code	4ADM_#	5SPECIES	6POP_CODE	7POPNAME	8POP#	9GROUP	10LONG	11LAT	12server	13path	14plastome
SQMC25-2_DNA31	SQMC25-2	31	752	PTRI	SQMC	Squamish river/C	25	C03	-123.366667	50.1	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX896/D0RDNACXX_1/INX896_D0RDNACXX_1_CAACTA.bam	sorted BAM
STHA21-2_DNA32	STHA21-2	32	767	PTRI	STHA	Southgate river/A	21	C03	-124.483333	50.816667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX897/D0RDNACXX_2/INX897_D0RDNACXX_2_CCACGC.bam	sorted BAM
STHA21-3_DNA33	STHA21-3	33	768	PTRI	STHA	Southgate river/A	21	C03	-124.483333	50.816667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX897/D0RDNACXX_2/INX897_D0RDNACXX_2_CTATAC.bam	sorted BAM
STHA21-4_DNA34	STHA21-4	34	769	PTRI	STHA	Southgate river/A	21	C03	-124.483333	50.816667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX898/D0RDNACXX_3/INX898_D0RDNACXX_3_GCAAGG.bam	sorted BAM
STHA21-5_DNA35	STHA21-5	35	770	PTRI	STHA	Southgate river/A	21	C03	-124.483333	50.816667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX898/D0RDNACXX_3/INX898_D0RDNACXX_3_TACAGC.bam	sorted BAM
STHB21-1_DNA36	STHB21-1	36	771	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX899/D0RDNACXX_4/INX899_D0RDNACXX_4_TGCCAT.bam	sorted BAM
STHB21-2_DNA37	STHB21-2	37	772	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX899/D0RDNACXX_4/INX899_D0RDNACXX_4_ATGTCA.bam	sorted BAM
STHB21-3_DNA38	STHB21-3	38	773	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX900/D0RDNACXX_5/INX900_D0RDNACXX_5_TTAGGC.bam	sorted BAM
STHB21-4_DNA39	STHB21-4	39	774	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX900/D0RDNACXX_5/INX900_D0RDNACXX_5_GGCTAC.bam	sorted BAM
STHB21-5_DNA40	STHB21-5	40	775	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX901/D0RDNACXX_6/INX901_D0RDNACXX_6_AAGACT.bam	sorted BAM
TLKH11-1_DNA41	TLKH11-1	41	802	PTRI	TLKH	Telkwa river/H	11	C01	-127.116667	54.666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX901/D0RDNACXX_6/INX901_D0RDNACXX_6_ACGATA.bam	sorted BAM
TLKH11-5_DNA43	TLKH11-5	43	803	PTRI	TLKH	Telkwa river/H	11	C01	-127.116667	54.666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX902/D0RDNACXX_7/INX902_D0RDNACXX_7_CACCGG.bam	sorted BAM
TNZA4-1_DNA44	TNZA4-1	44	804	PTRI	TNZA	Tanzilla river/A	4	C01	-130.466667	58.3	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX903/D0RDNACXX_8/INX903_D0RDNACXX_8_CCCATG.bam	sorted BAM
TOBA23-2_DNA45	TOBA23-2	45	806	PTRI	TOBA	Toba Inlet/A	23	C03	-124.233333	50.516667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX903/D0RDNACXX_8/INX903_D0RDNACXX_8_CTCAGA.bam	sorted BAM
HALS30-2_DNA75	HALS30-2	75	263	PTRI	HALS	"Hasley, Or"	30	C04	-123.333333	44.416667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX915/C0LA2ACXX_4/INX915_C0LA2ACXX_4_GAAACC.bam	sorted BAM
JASP30-3_DNA81	JASP30-3	81	335	PTRI	JASP	"Jasper, Or"	30	C04	-122.916667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX916/C0LA2ACXX_5/INX916_C0LA2ACXX_5_GCCTTA.bam	sorted BAM
JASP30-4_DNA82	JASP30-4	82	336	PTRI	JASP	"Jasper, Or"	30	C04	-122.916667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX916/C0LA2ACXX_5/INX916_C0LA2ACXX_5_TCCCGA.bam	sorted BAM
JASP30-5_DNA83	JASP30-5	83	337	PTRI	JASP	"Jasper, Or"	30	C04	-122.916667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX917/C0LA2ACXX_6/INX917_C0LA2ACXX_6_TTCGAA.bam	sorted BAM
JEFF30-2_DNA84	JEFF30-2	84	339	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX917/C0LA2ACXX_6/INX917_C0LA2ACXX_6_GTCCGC.bam	sorted BAM
KIMB16-2_DNA86	KIMB16-2	86	343	PTRI	KIMB	Kimball Cr	16	C02	-121.166667	52.933333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX918/C0LA2ACXX_7/INX918_C0LA2ACXX_7_GCCAAT.bam	sorted BAM
KIMB16-3_DNA87	KIMB16-3	87	344	PTRI	KIMB	Kimball Cr	16	C02	-121.166667	52.933333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX918/C0LA2ACXX_7/INX918_C0LA2ACXX_7_AAAGCA.bam	sorted BAM
KLNE20-1_DNA88	KLNE20-1	88	355	PTRI	KLNE	W Klinaklini river/E	20	C03	-125.566667	51.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX919/C0LA2ACXX_8/INX919_C0LA2ACXX_8_AATAGG.bam	sorted BAM
