1file_id	2sample	3DNA_code	4ADM_#	5SPECIES	6POP_CODE	7POPNAME	8POP#	9GROUP	10LONG	11LAT	12server	13path	14plastome	15Haplogroup
BULG11_4_DNA751	BULG11_4	751	58	PTRI	BULG	Bulkley river/G	11	C01	-126.8	54.45	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0983/D18W4ACXX_5/IX0983_D18W4ACXX_5_AGCGCT.bam	DONE	HapZ
BULG11_5_DNA464	BULG11_5	464	59	PTRI	BULG	Bulkley river/G	11	C01	-126.8	54.45	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0365/D12N9ACXX_4/IX0365_D12N9ACXX_4_CACTCA.bam	EASTGalaxy	#N/A
CARS29_2_DNA131	CARS29_2	131	80	PTRI	CARS	"Carson, Wa"	29	C04	-122.833333	45.75	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX939/D0UJNACXX_6/INX939_D0UJNACXX_6_AGTTCC.bam	DONE	HapT
CARS29_3_DNA61	CARS29_3	61	81	PTRI	CARS	"Carson, Wa"	29	C04	-122.833333	45.75	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX911/C0LA2ACXX_1/INX911_C0LA2ACXX_1_TGGCGC.bam	DONE	HapT
CARS29_5_DNA62	CARS29_5	62	82	PTRI	CARS	"Carson, Wa"	29	C04	-122.833333	45.75	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX911/C0LA2ACXX_1/INX911_C0LA2ACXX_1_GTAGAG.bam	DONE	HapT
CDRE10_1_DNA415	CDRE10_1	415	83	PTRI	CDRE	Cedarvale/E	10	C01	-128.333333	55.016667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0354/D10R2ACXX_3/IX0354_D10R2ACXX_3_TAATCG.bam	DONE	HapT
CDRE10_3_DNA416	CDRE10_3	416	84	PTRI	CDRE	Cedarvale/E	10	C01	-128.333333	55.016667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0354/D10R2ACXX_3/IX0354_D10R2ACXX_3_TGAATG.bam	DONE	HapT
CEDA10_2_DNA417	CEDA10_2	417	85	PTRI	CEDA	Cedar river/A	10	C01	-128.916667	54.95	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0354/D10R2ACXX_3/IX0354_D10R2ACXX_3_AGTTCC.bam	DONE	HapT
CEDA10_4_DNA367	CEDA10_4	367	86	PTRI	CEDA	Cedar river/A	10	C01	-128.916667	54.95	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0332/D102LACXX_4/IX0332_D102LACXX_4_ACCGGC.bam	DONE	HapY
CHIL14_2_DNA133	CHIL14_2	133	87	PTRI	CHIL	Chilako river	14	C01	-122.983333	53.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX940/D0UJNACXX_7/INX940_D0UJNACXX_7_TAGCTT.bam	DONE	HapT
CHKC19_1_DNA192	CHKC19_1	192	88	PTRI	CHKC	Chuckwalla river/C	19	C03	-127.316667	51.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX969/D0U7RACXX_2/INX969_D0U7RACXX_2_TTCTCC.bam	DONE	HapT
CHKC19_2_DNA64	CHKC19_2	64	89	PTRI	CHKC	Chuckwalla river/C	19	C03	-127.316667	51.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX912/D0U8JACXX_8/INX912_D0U8JACXX_8_ACAGTG.bam	DONE	HapT
CHKC19_3_DNA65	CHKC19_3	65	90	PTRI	CHKC	Chuckwalla river/C	19	C03	-127.316667	51.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX912/D0U8JACXX_8/INX912_D0U8JACXX_8_AAACAT.bam	DONE	HapT
CHKC19_4_DNA134	CHKC19_4	134	91	PTRI	CHKC	Chuckwalla river/C	19	C03	-127.316667	51.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX941/D0U8GACXX_5/INX941_D0U8GACXX_5_AACTTG.bam	DONE	HapT
CHKD19_1_DNA193	CHKD19_1	193	92	PTRI	CHKD	Chuckwalla river/D	19	C03	-127.2	51.766667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX969/D0U7RACXX_2/INX969_D0U7RACXX_2_GTGAAA.bam	DONE	HapT
CHKD19_2_DNA368	CHKD19_2	368	93	PTRI	CHKD	Chuckwalla river/D	19	C03	-127.2	51.766667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0343/C0T20ACXX_7/IX0343_C0T20ACXX_7_GCCTTA.bam	DONE	HapT
CHKD19_3_DNA418	CHKD19_3	418	94	PTRI	CHKD	Chuckwalla river/D	19	C03	-127.2	51.766667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0355/D10R2ACXX_4/IX0355_D10R2ACXX_4_CGATGT.bam	DONE	HapT
CHKD19_4_DNA194	CHKD19_4	194	95	PTRI	CHKD	Chuckwalla river/D	19	C03	-127.2	51.766667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX970/D0U7RACXX_3/INX970_D0U7RACXX_3_CAGATC.bam	DONE	HapT
CHKD19_5_DNA68	CHKD19_5	68	96	PTRI	CHKD	Chuckwalla river/D	19	C03	-127.2	51.766667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX913/C0KV7ACXX_2/INX913_C0KV7ACXX_2_AAGGAC.bam	DONE	HapT
CNYH28_1_DNA69	CNYH28_1	69	111	PTRI	CNYH	Courtenay/H	28	C03	-125.066667	49.666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX913/C0KV7ACXX_2/INX913_C0KV7ACXX_2_ACTGAT.bam	DONE	HapT
CSYJ28_1_DNA70	CSYJ28_1	70	112	PTRI	CSYJ	Cassidy/J	28	C03	-123.866667	49.066667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-21/INX914/C0LA2ACXX_3/INX914_C0LA2ACXX_3_ATCCTA.bam	DONE	HapT
CSYJ28_2_DNA71	CSYJ28_2	71	113	PTRI	CSYJ	Cassidy/J	28	C03	-123.866667	49.066667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-21/INX914/C0LA2ACXX_3/INX914_C0LA2ACXX_3_CACTCA.bam	DONE	HapT
CSYJ28_3_DNA136	CSYJ28_3	136	114	PTRI	CSYJ	Cassidy/J	28	C03	-123.866667	49.066667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX942/D0U8GACXX_6/INX942_D0U8GACXX_6_AGGCCG.bam	DONE	HapT
DESD2_2_DNA419	DESD2_2	419	136	PTRI	DESD	Dease river/D	2	C01	-129.1	59.45	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0355/D10R2ACXX_4/IX0355_D10R2ACXX_4_TAGCTT.bam	DONE	HapY
ELAD25_2_DNA137	ELAD25_2	137	164	PTRI	ELAD	Elaho river/D	25	C03	-123.583333	50.25	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX942/D0U8GACXX_6/INX942_D0U8GACXX_6_CAACTA.bam	DONE	HapT
ELAD25_4_DNA138	ELAD25_4	138	165	PTRI	ELAD	Elaho river/D	25	C03	-123.583333	50.25	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX943/D0U8GACXX_7/INX943_D0U8GACXX_7_CCACGC.bam	DONE	HapT
ELAD25_5_DNA195	ELAD25_5	195	166	PTRI	ELAD	Elaho river/D	25	C03	-123.583333	50.25	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX970/D0U7RACXX_3/INX970_D0U7RACXX_3_AAATGC.bam	DONE	HapT
FKRB6_1_DNA421	FKRB6_1	421	179	PTRI	FKRB	Forrest Kerr Cr/B	6	C01	-130.633333	56.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0355/D10R2ACXX_4/IX0355_D10R2ACXX_4_ACCGGC.bam	DONE	HapT
HALS30_1_DNA139	HALS30_1	139	262	PTRI	HALS	"Hasley, Or"	30	C04	-123.333333	44.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX943/D0U8GACXX_7/INX943_D0U8GACXX_7_CTATAC.bam	DONE	HapU
HALS30_4_DNA140	HALS30_4	140	264	PTRI	HALS	"Hasley, Or"	30	C04	-123.333333	44.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX944/D0U8GACXX_8/INX944_D0U8GACXX_8_GCAAGG.bam	DONE	HapT
HAZH10_1_DNA422	HAZH10_1	422	291	PTRI	HAZH	Hazelton/H	10	C01	-127.666667	55.216667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0356/D10R2ACXX_5/IX0356_D10R2ACXX_5_AGGCCG.bam	DONE	HapT
HAZH10_2_DNA141	HAZH10_2	141	292	PTRI	HAZH	Hazelton/H	10	C01	-127.666667	55.216667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX944/D0U8GACXX_8/INX944_D0U8GACXX_8_TACAGC.bam	DONE	HapT
HAZH10_3_DNA369	HAZH10_3	369	293	PTRI	HAZH	Hazelton/H	10	C01	-127.666667	55.216667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0343/C0T20ACXX_7/IX0343_C0T20ACXX_7_TCCCGA.bam	DONE	HapT
HAZH10_5_DNA370	HAZH10_5	370	294	PTRI	HAZH	Hazelton/H	10	C01	-127.666667	55.216667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0343/C0T20ACXX_7/IX0343_C0T20ACXX_7_TTCGAA.bam	DONE	HapT
HIXN16_1_DNA371	HIXN16_1	371	296	PTRI	HIXN	Hixon	16	C02	-122.633333	53.4	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0343/C0T20ACXX_7/IX0343_C0T20ACXX_7_GTCCGC.bam	DONE	HapY
HIXN16_5_DNA142	HIXN16_5	142	297	PTRI	HIXN	Hixon	16	C02	-122.633333	53.4	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX945/C0KW2ACXX_1/INX945_C0KW2ACXX_1_TGCCAT.bam	DONE	HapZ
HOMB21_1_DNA198	HOMB21_1	198	302	PTRI	HOMB	Homathko river/B	21	C03	-124.9	50.95	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX972/D0U7RACXX_5/INX972_D0U7RACXX_5_ATGAGC.bam	DONE	HapT
HOMB21_5_DNA199	HOMB21_5	199	303	PTRI	HOMB	Homathko river/B	21	C03	-124.9	50.95	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX972/D0U7RACXX_5/INX972_D0U7RACXX_5_CATGGC.bam	DONE	HapT
HOMD21_5_DNA179	HOMD21_5	179	310	PTRI	HOMD	Homathko river/D	21	C03	-124.833333	51.283333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-05-02/INX962/C0N0JACXX_3/INX962_C0N0JACXX_3_TCCCGA.bam	DONE	HapT
HOPF27_2_DNA201	HOPF27_2	201	314	PTRI	HOPF	Hope North/F	27	C03	-121.433333	49.433333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX973/D0U7RACXX_6/INX973_D0U7RACXX_6_GACGGA.bam	DONE	HapT
HOPF27_4_DNA423	HOPF27_4	423	315	PTRI	HOPF	Hope North/F	27	C03	-121.433333	49.433333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0356/D10R2ACXX_5/IX0356_D10R2ACXX_5_CAACTA.bam	DONE	HapT
HRSP27_3_DNA144	HRSP27_3	144	322	PTRI	HRSP	Harrison Mill/P	27	C03	-121.85	49.233333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX945/C0KW2ACXX_1/INX945_C0KW2ACXX_1_ATGTCA.bam	DONE	HapT
IRVC7_1_DNA815	IRVC7_1	815	325	PTRI	IRVC	Bell-Irving/C	7	C01	-129.733333	56.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0983/D18W4ACXX_5/IX0983_D18W4ACXX_5_ACCGGC.bam	DONE	HapT
IRVC7_5_DNA404	IRVC7_5	404	326	PTRI	IRVC	Bell-Irving/C	7	C01	-129.733333	56.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0351/D104PACXX_7/IX0351_D104PACXX_7_GATATA.bam	DONE	HapT
IRVC7_6_DNA424	IRVC7_6	424	327	PTRI	IRVC	Bell-Irving/C	7	C01	-129.733333	56.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0356/D10R2ACXX_5/IX0356_D10R2ACXX_5_CCACGC.bam	DONE	HapT
IRVD7_4_DNA425	IRVD7_4	425	328	PTRI	IRVD	Bell-Irving/D	7	C01	-129.616667	56.85	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-14/IX0356/D10R2ACXX_5/IX0356_D10R2ACXX_5_CTATAC.bam	DONE	HapT
ISKA6_1_DNA401	ISKA6_1	401	329	PTRI	ISKA	Iskut river/A	6	C01	-131.15	56.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0351/D104PACXX_7/IX0351_D104PACXX_7_ATTCCT.bam	DONE	HapT
ISKA6_2_DNA373	ISKA6_2	373	665	PTRI	ISKA	Iskut river/A	6	C01	-131.15	56.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_TACAGC.bam	DONE	HapZ
ISKA6_4_DNA426	ISKA6_4	426	330	PTRI	ISKA	Iskut river/A	6	C01	-131.15	56.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0357/D10R2ACXX_6/IX0357_D10R2ACXX_6_GCAAGG.bam	DONE	HapT
ISKA6_5_DNA427	ISKA6_5	427	331	PTRI	ISKA	Iskut river/A	6	C01	-131.15	56.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0357/D10R2ACXX_6/IX0357_D10R2ACXX_6_TACAGC.bam	DONE	HapT
ISKC6_3_DNA374	ISKC6_3	374	332	PTRI	ISKC	Iskut river/C	6	C01	-130.333333	56.933333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_TGCCAT.bam	DONE	HapY
ISKC6_5_DNA429	ISKC6_5	429	333	PTRI	ISKC	Iskut river/C	6	C01	-130.333333	56.933333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0357/D10R2ACXX_6/IX0357_D10R2ACXX_6_ATGTCA.bam	DONE	HapT
JASP30_1_DNA145	JASP30_1	145	334	PTRI	JASP	"Jasper, Or"	30	C04	-122.916667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX946/C0KW2ACXX_2/INX946_C0KW2ACXX_2_TTAGGC.bam	DONE	HapT
JEFF30_1_DNA459	JEFF30_1	459	338	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid5A/EASTGalaxyData/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0365/D12N9ACXX_4/IX0365_D12N9ACXX_4_ATCCTA.bam	EASTGalaxy	#N/A
JEFF30_3_DNA146	JEFF30_3	146	340	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX946/C0KW2ACXX_2/INX946_C0KW2ACXX_2_GGCTAC.bam	DONE	HapT
JEFF30_4_DNA202	JEFF30_4	202	341	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX974/D0U7RACXX_7/INX974_D0U7RACXX_7_GGCACA.bam	DONE	HapU
KIMB16_1_DNA640	KIMB16_1	640	342	PTRI	KIMB	Kimball Cr	16	C02	-121.166667	52.933333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0989/D1C4AACXX_7/IX0989_D1C4AACXX_7_ATCACG.bam	DONE	HapZ
KIMB16_4_DNA430	KIMB16_4	430	345	PTRI	KIMB	Kimball Cr	16	C02	-121.166667	52.933333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0358/D10R2ACXX_7/IX0358_D10R2ACXX_7_TTAGGC.bam	DONE	HapY
KIMB16_5_DNA590	KIMB16_5	590	346	PTRI	KIMB	Kimball Cr	16	C02	-121.166667	52.933333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-08-17/IX0393/C10ERACXX_5/IX0393_C10ERACXX_5_AAATGC.bam	DONE	HapZ
KIMB16_6_DNA432	KIMB16_6	432	347	PTRI	KIMB	Kimball Cr	16	C02	-121.166667	52.933333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0358/D10R2ACXX_7/IX0358_D10R2ACXX_7_GGCTAC.bam	DONE	HapY
KSPA9_3_DNA433	KSPA9_3	433	358	PTRI	KSPA	Kispiox river/A	9	C01	-128.533333	55.766667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0358/D10R2ACXX_7/IX0358_D10R2ACXX_7_AAGACT.bam	DONE	HapT
KTMA12_5_DNA434	KTMA12_5	434	362	PTRI	KTMA	Kitimat river/A	12	C01	-128.516667	54.25	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0358/D10R2ACXX_7/IX0358_D10R2ACXX_7_ACGATA.bam	DONE	HapT
KTMB12_5_DNA90	KTMB12_5	90	364	PTRI	KTMB	Kitimat river/B	12	C01	-128.583333	54.15	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX920/D0UM2ACXX_1/INX920_D0UM2ACXX_1_ATCTAT.bam	DONE	HapT
KTSG10_5_DNA91	KTSG10_5	91	369	PTRI	KTSG	Kitseguecla/G	10	C01	-127.916667	55.1	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX920/D0UM2ACXX_1/INX920_D0UM2ACXX_1_CAGGCG.bam	DONE	HapT
KTWF10_3_DNA147	KTWF10_3	147	370	PTRI	KTWF	Kitwanga/F	10	C01	-128.183333	55.083333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX947/C0KW2ACXX_3/INX947_C0KW2ACXX_3_AAGACT.bam	DONE	HapT
LAFY30_1_DNA148	LAFY30_1	148	390	PTRI	LAFY	"Lafayette, Or"	30	C04	-123.083333	45.2	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-04/INX947/C0KW2ACXX_3/INX947_C0KW2ACXX_3_ACGATA.bam	DONE	HapT
LAFY30_2_DNA149	LAFY30_2	149	391	PTRI	LAFY	"Lafayette, Or"	30	C04	-123.083333	45.2	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-03/INX948/C0KW2ACXX_4/INX948_C0KW2ACXX_4_ATAATT.bam	DONE	HapT
