1file_id	2sample	3DNA_code	4species	5pop	6pop_name	7LONG	8LAT	9server	10path	11sorted
BOY10_DNA887	BOY10	887	PBAL	BOY	Boyle/Amisk_Lake	112.65	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-09/IX1915/C2P4LACXX_2/IX1915_C2P4LACXX_2_AGCGCT.bam	unsorted
BOY11_DNA468	BOY11	468	PBAL	BOY	Boyle/Amisk_Lake	112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0368/D12N9ACXX_7/IX0368_D12N9ACXX_7_ATCTAT.bam	unsorted
BOY12_DNA469	BOY12	469	PBAL	BOY	Boyle/Amisk_Lake	112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0368/D12N9ACXX_7/IX0368_D12N9ACXX_7_CAGGCG.bam	unsorted
BOY13_DNA1107	BOY13	1107	PBAL	BOY	Boyle/Amisk_Lake	112.65	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2046/C2PVTACXX_2/IX2046_C2PVTACXX_2_GCACTT.bam	unsorted
BOY14_DNA888	BOY14	888	PBAL	BOY	Boyle/Amisk_Lake	112.65	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1905/C2F5GACXX_7/IX1905_C2F5GACXX_7_CAAAAG.bam	unsorted
BOY15_DNA889	BOY15	889	PBAL	BOY	Boyle/Amisk_Lake	112.65	54.53333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1902/C2F5GACXX_4/IX1902_C2F5GACXX_4_CCAACA.bam	unsorted
BOY2_DNA789	BOY2	789	PBAL	BOY	Boyle/Amisk_Lake	112.6666667	54.56666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0982/D18W4ACXX_4/IX0982_D18W4ACXX_4_CACCGG.bam	unsorted
BOY3_DNA645	BOY3	645	PBAL	BOY	Boyle/Amisk_Lake	112.6833333	54.56666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-06/IX0843/D17UBACXX_6/IX0843_D17UBACXX_6_TAGCTT.bam	unsorted
BOY4_DNA790	BOY4	790	PBAL	BOY	Boyle/Amisk_Lake	112.6666667	54.56666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0987/D1C4AACXX_5/IX0987_D1C4AACXX_5_CCCATG.bam	unsorted
BOY5_DNA1160	BOY5	1160	PBAL	BOY	Boyle/Amisk_Lake	112.6666667	54.56666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-30/IX2032/C2P5YACXX_4/IX2032_C2P5YACXX_4_ATCTAT.bam	unsorted
BOY6_DNA646	BOY6	646	PBAL	BOY	Boyle/Amisk_Lake	112.6666667	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-07/IX0855/D18UBACXX_2/IX0855_D18UBACXX_2_AACTTG.bam	unsorted
BOY7_DNA1095	BOY7	1095	PBAL	BOY	Boyle/Amisk_Lake	112.6666667	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-18/IX2034/C2RT2ACXX_3/IX2034_C2RT2ACXX_3_CACCGG.bam	unsorted
BOY8_DNA467	BOY8	467	PBAL	BOY	Boyle/Amisk_Lake	112.6666667	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-22/IX0367/D12N9ACXX_6/IX0367_D12N9ACXX_6_AGAAGA.bam	unsorted
BOY9_DNA1096	BOY9	1096	PBAL	BOY	Boyle/Amisk_Lake	112.65	54.55	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-30/IX2033/C2P5YACXX_5/IX2033_C2P5YACXX_5_CCCATG.bam	unsorted
CAR1_DNA332	CAR1	332	PBAL	CAR	Carnduff	101.8333333	49.18333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0337/C0T20ACXX_1/IX0337_C0T20ACXX_1_TATAAT.bam	unsorted
CAR10_DNA892	CAR10	892	PBAL	CAR	Carnduff	101.9666667	49.26666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-18/IX1953/C2NR6ACXX_6/IX1953_C2NR6ACXX_6_TAATCG.bam	unsorted
CAR11_02_DNA987	CAR11_02	987	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1909/C2F5EACXX_4/IX1909_C2F5EACXX_4_AGTCAA.bam	unsorted
CAR11_05_DNA776	CAR11_05	776	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0978/C14ERACXX_5/IX0978_C14ERACXX_5_AGGCCG.bam	unsorted
CAR11_07_DNA777	CAR11_07	777	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0978/C14ERACXX_5/IX0978_C14ERACXX_5_CAACTA.bam	unsorted
CAR11_09_DNA788	CAR11_09	788	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0986/D18W4ACXX_8/IX0986_D18W4ACXX_8_ATAATT.bam	unsorted
CAR11_11_DNA787	CAR11_11	787	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0976/C14ERACXX_3/IX0976_C14ERACXX_3_ACGATA.bam	unsorted
CAR11_12_DNA781	CAR11_12	781	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0975/C14ERACXX_2/IX0975_C14ERACXX_2_TACAGC.bam	unsorted
CAR11_13_DNA782	CAR11_13	782	PBAL	CAR	Carnduff	101.8333333	101.8333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0986/D18W4ACXX_8/IX0986_D18W4ACXX_8_TGCCAT.bam	unsorted
CAR11_14_DNA783	CAR11_14	783	PBAL	CAR	Carnduff	101.8333333	101.8333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-11-22/IX0979/D18W4ACXX_1/IX0979_D18W4ACXX_1_ATGTCA.bam	unsorted
CAR11_DNA471	CAR11	471	PBAL	CAR	Carnduff	101.9666667	49.26666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0368/D12N9ACXX_7/IX0368_D12N9ACXX_7_CCTTAG.bam	unsorted
CAR12_DNA472	CAR12	472	PBAL	CAR	Carnduff	102	49.26666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0368/D12N9ACXX_7/IX0368_D12N9ACXX_7_GAATAA.bam	unsorted
CAR13_DNA832	CAR13	832	PBAL	CAR	Carnduff	102	49.25	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-11-21/IX0996/D1CLLACXX_8/IX0996_D1CLLACXX_8_AGAAGA.bam	unsorted
CAR14_DNA333	CAR14	333	PBAL	CAR	Carnduff	101.95	49.21666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0337/C0T20ACXX_1/IX0337_C0T20ACXX_1_TGCTGG.bam	unsorted
CAR2_DNA647	CAR2	647	PBAL	CAR	Carnduff	101.9333333	49.21666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0852/C13N9ACXX_2/IX0852_C13N9ACXX_2_ACCGGC.bam	unsorted
CAR4_DNA648	CAR4	648	PBAL	CAR	Carnduff	101.9333333	49.21666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-05/IX0850/D18MNACXX_8/IX0850_D18MNACXX_8_AGGCCG.bam	unsorted
CAR5_DNA890	CAR5	890	PBAL	CAR	Carnduff	101.9333333	49.23333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1901/C2F5GACXX_3/IX1901_C2F5GACXX_3_CTAGCT.bam	unsorted
CAR6_DNA891	CAR6	891	PBAL	CAR	Carnduff	101.95	49.25	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-02/IX1911/C2F5EACXX_6/IX1911_C2F5EACXX_6_GATGCT.bam	unsorted
CAR7_DNA837	CAR7	837	PBAL	CAR	Carnduff	101.95	49.25	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0992/C13P1ACXX_3/IX0992_C13P1ACXX_3_GAATAA.bam	unsorted
CAR8_DNA502	CAR8	502	PBAL	CAR	Carnduff	101.9666667	49.23333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-26/IX0373/C0W11ACXX_6/IX0373_C0W11ACXX_6_CGTACG.bam	unsorted
CAR9_DNA996	CAR9	996	PBAL	CAR	Carnduff	101.9666667	49.25	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-30/IX2033/C2P5YACXX_5/IX2033_C2P5YACXX_5_ATCACG.bam	unsorted
DEN1_DNA649	DEN1	649	PBAL	DEN	Denali_National_Park	149.0166667	63.86666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-12/IX0856/D18UBACXX_3/IX0856_D18UBACXX_3_CAACTA.bam	unsorted
DEN10_DNA289	DEN10	289	PBAL	DEN	Denali_National_Park	148.7833333	63.63333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_GCAAGG.bam	unsorted
DEN11_DNA1109	DEN11	1109	PBAL	DEN	Denali_National_Park	148.7833333	63.6	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2041/C2P8KACXX_5/IX2041_C2P8KACXX_5_TGCTGG.bam	unsorted
DEN12_DNA1110	DEN12	1110	PBAL	DEN	Denali_National_Park	148.8	63.58333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2039/C2P8KACXX_3/IX2039_C2P8KACXX_3_CCGTCC.bam	unsorted
DEN13_DNA793	DEN13	793	PBAL	DEN	Denali_National_Park	148.8	63.58333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0974/C14ERACXX_1/IX0974_C14ERACXX_1_TATAAT.bam	unsorted
DEN14_DNA895	DEN14	895	PBAL	DEN	Denali_National_Park	148.8	63.58333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1904/C2F5GACXX_6/IX1904_C2F5GACXX_6_CGATGT.bam	unsorted
DEN15_DNA1191	DEN15	1191	PBAL	DEN	Denali_National_Park	148.8	63.56666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2049/C2PVTACXX_5/IX2049_C2PVTACXX_5_GACGGA.bam	unsorted
DEN2_DNA893	DEN2	893	PBAL	DEN	Denali_National_Park	148.8833333	63.71666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-18/IX1953/C2NR6ACXX_6/IX1953_C2NR6ACXX_6_TGAATG.bam	unsorted
DEN3_DNA791	DEN3	791	PBAL	DEN	Denali_National_Park	148.9	63.73333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0990/D1C4AACXX_8/IX0990_D1C4AACXX_8_CTCAGA.bam	unsorted
DEN4_DNA792	DEN4	792	PBAL	DEN	Denali_National_Park	148.9	63.73333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0991/C13P1ACXX_2/IX0991_C13P1ACXX_2_GCACTT.bam	unsorted
DEN5_DNA650	DEN5	650	PBAL	DEN	Denali_National_Park	148.8833333	63.71666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0851/C13N9ACXX_1/IX0851_C13N9ACXX_1_CCACGC.bam	unsorted
DEN6_DNA894	DEN6	894	PBAL	DEN	Denali_National_Park	148.8833333	63.71666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-10/IX1916/C2P4LACXX_3/IX1916_C2P4LACXX_3_AGTTCC.bam	unsorted
DEN7_DNA651	DEN7	651	PBAL	DEN	Denali_National_Park	148.8833333	63.7	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-07/IX0858/D18UBACXX_5/IX0858_D18UBACXX_5_CTATAC.bam	unsorted
DEN8_DNA1108	DEN8	1108	PBAL	DEN	Denali_National_Park	148.85	63.68333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2038/C2P8KACXX_2/IX2038_C2P8KACXX_2_TATAAT.bam	unsorted
DUN1_DNA652	DUN1	652	PBAL	DUN	Dunlop	98.61666667	54.9	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-11/IX0859/D196FACXX_8/IX0859_D196FACXX_8_GCAAGG.bam	unsorted
DUN10_DNA474	DUN10	474	PBAL	DUN	Dunlop	98.65	54.8	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0369/D12N9ACXX_8/IX0369_D12N9ACXX_8_GCTCCA.bam	unsorted
DUN11_DNA475	DUN11	475	PBAL	DUN	Dunlop	98.46666667	54.83333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0369/D12N9ACXX_8/IX0369_D12N9ACXX_8_TCGAAG.bam	unsorted
DUN12_DNA898	DUN12	898	PBAL	DUN	Dunlop	98.45	54.83333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1905/C2F5GACXX_7/IX1905_C2F5GACXX_7_AACTTG.bam	unsorted
DUN13_DNA476	DUN13	476	PBAL	DUN	Dunlop	98.43333333	54.85	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0369/D12N9ACXX_8/IX0369_D12N9ACXX_8_TTCTCC.bam	unsorted
DUN14_DNA477	DUN14	477	PBAL	DUN	Dunlop	98.41666667	54.86666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0369/D12N9ACXX_8/IX0369_D12N9ACXX_8_GTGAAA.bam	unsorted
DUN15_DNA899	DUN15	899	PBAL	DUN	Dunlop	98.38333333	54.88333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1905/C2F5GACXX_7/IX1905_C2F5GACXX_7_ACCGGC.bam	unsorted
DUN2_DNA653	DUN2	653	PBAL	DUN	Dunlop	98.63333333	54.9	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-07/IX0857/D18UBACXX_4/IX0857_D18UBACXX_4_TACAGC.bam	unsorted
DUN4_DNA654	DUN4	654	PBAL	DUN	Dunlop	98.65	54.91666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-11/IX0859/D196FACXX_8/IX0859_D196FACXX_8_TGCCAT.bam	unsorted
DUN5_DNA1097	DUN5	1097	PBAL	DUN	Dunlop	98.66666667	54.93333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-18/IX2034/C2RT2ACXX_3/IX2034_C2RT2ACXX_3_CTCAGA.bam	unsorted
DUN6_DNA827	DUN6	827	PBAL	DUN	Dunlop	98.78333333	54.78333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0993/C13P1ACXX_4/IX0993_C13P1ACXX_4_TCCCGA.bam	unsorted
DUN8_DNA504	DUN8	504	PBAL	DUN	Dunlop	98.71666667	54.78333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-26/IX0373/C0W11ACXX_6/IX0373_C0W11ACXX_6_ACATCT.bam	unsorted
DUN9_DNA897	DUN9	897	PBAL	DUN	Dunlop	98.66666667	54.8	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-10/IX1919/C2P4LACXX_6/IX1919_C2P4LACXX_6_TAGCTT.bam	unsorted
EDM1_DNA655	EDM1	655	PBAL	EDM	Edmonton	112.9833333	53.53333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-21/IX0854/D18UBACXX_1/IX0854_D18UBACXX_1_ATGTCA.bam	unsorted
EDM10_DNA480	EDM10	480	PBAL	EDM	Edmonton	113	53.58333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-26/IX0370/C0W11ACXX_3/IX0370_C0W11ACXX_3_AAATGC.bam	unsorted
EDM11_DNA334	EDM11	334	PBAL	EDM	Edmonton	113	53.58333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-15/IX0337/C0T20ACXX_1/IX0337_C0T20ACXX_1_CCGTCC.bam	unsorted
EDM12_DNA901	EDM12	901	PBAL	EDM	Edmonton	113.0166667	53.6	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1908/C2F5EACXX_3/IX1908_C2F5EACXX_3_AGGCCG.bam	unsorted
EDM13_DNA849	EDM13	849	PBAL	EDM	Edmonton	113.05	53.61666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1906/C2F5EACXX_1/IX1906_C2F5EACXX_1_ATCACG.bam	unsorted
EDM14_DNA902	EDM14	902	PBAL	EDM	Edmonton	113.05	53.61666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1901/C2F5GACXX_3/IX1901_C2F5GACXX_3_CAACTA.bam	unsorted
EDM15_DNA1001	EDM15	1001	PBAL	EDM	Edmonton	113.05	53.61666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2038/C2P8KACXX_2/IX2038_C2P8KACXX_2_GATCAG.bam	unsorted
EDM2_DNA794	EDM2	794	PBAL	EDM	Edmonton	112.9833333	53.53333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0985/D18W4ACXX_7/IX0985_D18W4ACXX_7_TGCTGG.bam	unsorted
EDM3_DNA478	EDM3	478	PBAL	EDM	Edmonton	112.9833333	53.53333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-26/IX0370/C0W11ACXX_3/IX0370_C0W11ACXX_3_CAGATC.bam	unsorted
EDM4_DNA1111	EDM4	1111	PBAL	EDM	Edmonton	112.9666667	53.53333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2043/C2P8KACXX_7/IX2043_C2P8KACXX_7_TGACCA.bam	unsorted
EDM5_DNA657	EDM5	657	PBAL	EDM	Edmonton	112.9666667	53.53333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-06/IX0843/D17UBACXX_6/IX0843_D17UBACXX_6_TTAGGC.bam	unsorted
EDM6_DNA795	EDM6	795	PBAL	EDM	Edmonton	112.95	53.48333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0984/D18W4ACXX_6/IX0984_D18W4ACXX_6_CCGTCC.bam	unsorted
EDM7_DNA1150	EDM7	1150	PBAL	EDM	Edmonton	112.95	53.48333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-30/IX2036/C2P5YACXX_8/IX2036_C2P5YACXX_8_CCGCAA.bam	unsorted
EDM9_DNA796	EDM9	796	PBAL	EDM	Edmonton	112.95	53.51666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-11-22/IX0979/D18W4ACXX_1/IX0979_D18W4ACXX_1_TGACCA.bam	unsorted
FBK10_DNA292	FBK10	292	PBAL	FBK	Fairbanks	146.3	64.91666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0366/D12N9ACXX_5/IX0366_D12N9ACXX_5_TCCCGA.bam	unsorted
FBK11_DNA659	FBK11	659	PBAL	FBK	Fairbanks	146.2166667	65	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-12/IX0856/D18UBACXX_3/IX0856_D18UBACXX_3_AAGACT.bam	unsorted
FBK12_DNA904	FBK12	904	PBAL	FBK	Fairbanks	146.2	65	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-10/IX1917/C2P4LACXX_4/IX1917_C2P4LACXX_4_CTATAC.bam	unsorted
FBK13_DNA1112	FBK13	1112	PBAL	FBK	Fairbanks	146.2166667	64.98333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2044/C2P8KACXX_8/IX2044_C2P8KACXX_8_CTTGTA.bam	unsorted
FBK14_DNA1113	FBK14	1113	PBAL	FBK	Fairbanks	146.2833333	64.93333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-29/IX2056/C34BNACXX_5/IX2056_C34BNACXX_5_AAGCGA.bam	unsorted
FBK15_DNA905	FBK15	905	PBAL	FBK	Fairbanks	146.45	64.9	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1910/C2F5EACXX_5/IX1910_C2F5EACXX_5_GCAAGG.bam	unsorted
FBK3_DNA290	FBK3	290	PBAL	FBK	Fairbanks	146.35	64.9	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-12/IX0334/D102LACXX_6/IX0334_D102LACXX_6_TACAGC.bam	unsorted
FBK4_DNA658	FBK4	658	PBAL	FBK	Fairbanks	146.35	64.9	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-07/IX0858/D18UBACXX_5/IX0858_D18UBACXX_5_GGCTAC.bam	unsorted
FBK5_DNA797	FBK5	797	PBAL	FBK	Fairbanks	146.35	64.9	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0995/C13P1ACXX_6/IX0995_C13P1ACXX_6_CTTGTA.bam	unsorted
FBK6_DNA798	FBK6	798	PBAL	FBK	Fairbanks	146.35	64.9	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-17/IX0992/C13P1ACXX_3/IX0992_C13P1ACXX_3_AAGCGA.bam	unsorted
FBK8_DNA903	FBK8	903	PBAL	FBK	Fairbanks	146.3166667	64.91666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-18/IX1953/C2NR6ACXX_6/IX1953_C2NR6ACXX_6_CCACGC.bam	unsorted
FBK9_DNA335	FBK9	335	PBAL	FBK	Fairbanks	146.2833333	64.93333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-13/IX0338/C0T20ACXX_2/IX0338_C0T20ACXX_2_TGACCA.bam	unsorted
FRE1_DNA249	FRE1	249	PBAL	FRE	Fredericton	67.25	46.06666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-20/IX0365/D12N9ACXX_4/IX0365_D12N9ACXX_4_CCGCAA.bam	unsorted
FRE11_DNA908	FRE11	908	PBAL	FRE	Fredericton	67.21666667	46.13333333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-18/IX1954/C2NR6ACXX_7/IX1954_C2NR6ACXX_7_ATGTCA.bam	unsorted
FRE12_DNA498	FRE12	498	PBAL	FRE	Fredericton	67.21666667	46.13333333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-26/IX0373/C0W11ACXX_6/IX0373_C0W11ACXX_6_ACTTGA.bam	unsorted
FRE13_DNA909	FRE13	909	PBAL	FRE	Fredericton	67.16666667	46.1	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-01/IX1901/C2F5GACXX_3/IX1901_C2F5GACXX_3_TTAGGC.bam	unsorted
FRE14_DNA358	FRE14	358	PBAL	FRE	Fredericton	67.16666667	46.1	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-06-22/IX0367/D12N9ACXX_6/IX0367_D12N9ACXX_6_GCCAAT.bam	unsorted
