ACCESSION	samplename	DNA#	ADM_#	ADM_CODE	POP_CODE	POPNAME	POP#	GROUP	LONG	LAT	server	path	plastome
SKWC24-4_DNA25	SKWC24-4	25	702	PTRI	SKWC	Skwawka river/C	24	C03	-124	50.25	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX894/C0H62ACXX_7/INX894_C0H62ACXX_7_CGATGT.bam	DONE
SKWC24-3_DNA26	SKWC24-3	26	701	PTRI	SKWC	Skwawka river/C	24	C03	-124	50.25	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX894/C0H62ACXX_7/INX894_C0H62ACXX_7_TAGCTT.bam	DONE
SKWF24-2_DNA27	SKWF24-2	27	711	PTRI	SKWF	Skwawka river/F	24	C03	-123.933333	50.25	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX895/C0KV7ACXX_1/INX895_C0KV7ACXX_1_AACTTG.bam	DONE
SKNP10-8_DNA28	SKNP10-8	28	689	PTRI	SKNP	Skeena river/P	10	C01	-128.466667	54.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX895/C0KV7ACXX_1/INX895_C0KV7ACXX_1_ACCGGC.bam	DONE
SQMC25-2_DNA31	SQMC25-2	31	752	PTRI	SQMC	Squamish river/C	25	C03	-123.366667	50.1	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX896/D0RDNACXX_1/INX896_D0RDNACXX_1_CAACTA.bam	sorted BAM
STHA21-2_DNA32	STHA21-2	32	767	PTRI	STHA	Southgate river/A	21	C03	-124.483333	50.816667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX897/D0RDNACXX_2/INX897_D0RDNACXX_2_CCACGC.bam	sorted BAM
STHA21-3_DNA33	STHA21-3	33	768	PTRI	STHA	Southgate river/A	21	C03	-124.483333	50.816667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX897/D0RDNACXX_2/INX897_D0RDNACXX_2_CTATAC.bam	sorted BAM
STHA21-4_DNA34	STHA21-4	34	769	PTRI	STHA	Southgate river/A	21	C03	-124.483333	50.816667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX898/D0RDNACXX_3/INX898_D0RDNACXX_3_GCAAGG.bam	sorted BAM
STHA21-5_DNA35	STHA21-5	35	770	PTRI	STHA	Southgate river/A	21	C03	-124.483333	50.816667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX898/D0RDNACXX_3/INX898_D0RDNACXX_3_TACAGC.bam	sorted BAM
STHB21-1_DNA36	STHB21-1	36	771	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX899/D0RDNACXX_4/INX899_D0RDNACXX_4_TGCCAT.bam	sorted BAM
STHB21-2_DNA37	STHB21-2	37	772	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX899/D0RDNACXX_4/INX899_D0RDNACXX_4_ATGTCA.bam	sorted BAM
STHB21-3_DNA38	STHB21-3	38	773	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX900/D0RDNACXX_5/INX900_D0RDNACXX_5_TTAGGC.bam	sorted BAM
STHB21-4_DNA39	STHB21-4	39	774	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX900/D0RDNACXX_5/INX900_D0RDNACXX_5_GGCTAC.bam	sorted BAM
STHB21-5_DNA40	STHB21-5	40	775	PTRI	STHB	Southgate river/B	21	C03	-124.733333	50.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX901/D0RDNACXX_6/INX901_D0RDNACXX_6_AAGACT.bam	sorted BAM
TLKH11-1_DNA41	TLKH11-1	41	802	PTRI	TLKH	Telkwa river/H	11	C01	-127.116667	54.666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX901/D0RDNACXX_6/INX901_D0RDNACXX_6_ACGATA.bam	sorted BAM
TLKH11-5_DNA43	TLKH11-5	43	803	PTRI	TLKH	Telkwa river/H	11	C01	-127.116667	54.666667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX902/D0RDNACXX_7/INX902_D0RDNACXX_7_CACCGG.bam	sorted BAM
TNZA4-1_DNA44	TNZA4-1	44	804	PTRI	TNZA	Tanzilla river/A	4	C01	-130.466667	58.3	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX903/D0RDNACXX_8/INX903_D0RDNACXX_8_CCCATG.bam	sorted BAM
TOBA23-2_DNA45	TOBA23-2	45	806	PTRI	TOBA	Toba Inlet/A	23	C03	-124.233333	50.516667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX903/D0RDNACXX_8/INX903_D0RDNACXX_8_CTCAGA.bam	sorted BAM
TOBA23-3_DNA46	TOBA23-3	46	807	PTRI	TOBA	Toba Inlet/A	23	C03	-124.233333	50.516667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX904/D0U8JACXX_1/INX904_D0U8JACXX_1_GCACTT.bam	DONE
TOBB23-5_DNA47	TOBB23-5	47	813	PTRI	TOBB	Toba Inlet/B	23	C03	-124.083333	50.566667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX904/D0U8JACXX_1/INX904_D0U8JACXX_1_TATAAT.bam	DONE
TOBB23-2_DNA48	TOBB23-2	48	810	PTRI	TOBB	Toba Inlet/B	23	C03	-124.083333	50.566667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX905/D0U8JACXX_2/INX905_D0U8JACXX_2_TGCTGG.bam	DONE
TOBB23-4_DNA49	TOBB23-4	49	812	PTRI	TOBB	Toba Inlet/B	23	C03	-124.083333	50.566667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX905/D0U8JACXX_2/INX905_D0U8JACXX_2_CCGTCC.bam	DONE
WLOW15-3_DNA50	WLOW15-3	50	850	PTRI	WLOW	Willow river	15	C02	-122.283333	53.916667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX906/D0U8JACXX_3/INX906_D0U8JACXX_3_TGACCA.bam	DONE
YALD27-4_DNA51	YALD27-4	51	864	PTRI	YALD	Yale West/D	27	C03	-121.466667	49.566667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX906/D0U8JACXX_3/INX906_D0U8JACXX_3_CTTGTA.bam	DONE
TOBB23-3_DNA52	TOBB23-3	52	811	PTRI	TOBB	Toba Inlet/B	23	C03	-124.083333	50.566667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX907/D0U8JACXX_4/INX907_D0U8JACXX_4_AAGCGA.bam	DONE
YALD27-3_DNA53	YALD27-3	53	863	PTRI	YALD	Yale West/D	27	C03	-121.466667	49.566667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX907/D0U8JACXX_4/INX907_D0U8JACXX_4_ACTCTC.bam	DONE
TOBA23-4_DNA54	TOBA23-4	54	808	PTRI	TOBA	Toba Inlet/A	23	C03	-124.233333	50.516667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-30/INX908/D0U8JACXX_5/INX908_D0U8JACXX_5_ATACGG.bam	DONE
ALAA20-2_DNA55	ALAA20-2	55	2	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-30/INX908/D0U8JACXX_5/INX908_D0U8JACXX_5_CACGAT.bam	DONE
ALAA20-5_DNA56	ALAA20-5	56	5	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-29/INX909/D0U8JACXX_6/INX909_D0U8JACXX_6_GAGTGG.bam	DONE
BELA18-1_DNA57	BELA18-1	57	21	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-29/INX909/D0U8JACXX_6/INX909_D0U8JACXX_6_CTGCTG.bam	DONE
BELA18-3_DNA58	BELA18-3	58	23	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX910/D0U8JACXX_7/INX910_D0U8JACXX_7_GCCGCG.bam	DONE
BELA18-4_DNA59	BELA18-4	59	24	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX910/D0U8JACXX_7/INX910_D0U8JACXX_7_TCATTC.bam	DONE
CARS29-3_DNA61	CARS29-3	61	81	PTRI	CARS	"Carson, Wa"	29	C04	-122.833333	45.75	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX911/C0LA2ACXX_1/INX911_C0LA2ACXX_1_TGGCGC.bam	DONE
CARS29-5_DNA62	CARS29-5	62	82	PTRI	CARS	"Carson, Wa"	29	C04	-122.833333	45.75	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX911/C0LA2ACXX_1/INX911_C0LA2ACXX_1_GTAGAG.bam	DONE
CHKC19-2_DNA64	CHKC19-2	64	89	PTRI	CHKC	Chuckwalla river/C	19	C03	-127.316667	51.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX912/D0U8JACXX_8/INX912_D0U8JACXX_8_ACAGTG.bam	DONE
CHKC19-3_DNA65	CHKC19-3	65	90	PTRI	CHKC	Chuckwalla river/C	19	C03	-127.316667	51.733333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX912/D0U8JACXX_8/INX912_D0U8JACXX_8_AAACAT.bam	DONE
CHKD19-5_DNA68	CHKD19-5	68	96	PTRI	CHKD	Chuckwalla river/D	19	C03	-127.2	51.766667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX913/C0KV7ACXX_2/INX913_C0KV7ACXX_2_AAGGAC.bam	DONE
CNYH28-1_DNA69	CNYH28-1	69	111	PTRI	CNYH	Courtenay/H	28	C03	-125.066667	49.666667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX913/C0KV7ACXX_2/INX913_C0KV7ACXX_2_ACTGAT.bam	DONE
CSYJ28-1_DNA70	CSYJ28-1	70	112	PTRI	CSYJ	Cassidy/J	28	C03	-123.866667	49.066667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-21/INX914/C0LA2ACXX_3/INX914_C0LA2ACXX_3_ATCCTA.bam	DONE
CSYJ28-2_DNA71	CSYJ28-2	71	113	PTRI	CSYJ	Cassidy/J	28	C03	-123.866667	49.066667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-21/INX914/C0LA2ACXX_3/INX914_C0LA2ACXX_3_CACTCA.bam	DONE
HALS30-2_DNA75	HALS30-2	75	263	PTRI	HALS	"Hasley, Or"	30	C04	-123.333333	44.416667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX915/C0LA2ACXX_4/INX915_C0LA2ACXX_4_GAAACC.bam	sorted BAM
JASP30-3_DNA81	JASP30-3	81	335	PTRI	JASP	"Jasper, Or"	30	C04	-122.916667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX916/C0LA2ACXX_5/INX916_C0LA2ACXX_5_GCCTTA.bam	sorted BAM
JASP30-4_DNA82	JASP30-4	82	336	PTRI	JASP	"Jasper, Or"	30	C04	-122.916667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX916/C0LA2ACXX_5/INX916_C0LA2ACXX_5_TCCCGA.bam	sorted BAM
JASP30-5_DNA83	JASP30-5	83	337	PTRI	JASP	"Jasper, Or"	30	C04	-122.916667	44	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX917/C0LA2ACXX_6/INX917_C0LA2ACXX_6_TTCGAA.bam	sorted BAM
JEFF30-2_DNA84	JEFF30-2	84	339	PTRI	JEFF	"Jefferson, Or"	30	C04	-123.083333	44.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX917/C0LA2ACXX_6/INX917_C0LA2ACXX_6_GTCCGC.bam	sorted BAM
KIMB16-2_DNA86	KIMB16-2	86	343	PTRI	KIMB	Kimball Cr	16	C02	-121.166667	52.933333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX918/C0LA2ACXX_7/INX918_C0LA2ACXX_7_GCCAAT.bam	sorted BAM
KIMB16-3_DNA87	KIMB16-3	87	344	PTRI	KIMB	Kimball Cr	16	C02	-121.166667	52.933333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX918/C0LA2ACXX_7/INX918_C0LA2ACXX_7_AAAGCA.bam	sorted BAM
KLNE20-1_DNA88	KLNE20-1	88	355	PTRI	KLNE	W Klinaklini river/E	20	C03	-125.566667	51.733333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-20/INX919/C0LA2ACXX_8/INX919_C0LA2ACXX_8_AATAGG.bam	sorted BAM
KTMB12-5_DNA90	KTMB12-5	90	364	PTRI	KTMB	Kitimat river/B	12	C01	-128.583333	54.15	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX920/D0UM2ACXX_1/INX920_D0UM2ACXX_1_ATCTAT.bam	DONE
KTSG10-5_DNA91	KTSG10-5	91	369	PTRI	KTSG	Kitseguecla/G	10	C01	-127.916667	55.1	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX920/D0UM2ACXX_1/INX920_D0UM2ACXX_1_CAGGCG.bam	DONE
LAFY30-3_DNA92	LAFY30-3	92	392	PTRI	LAFY	"Lafayette, Or"	30	C04	-123.083333	45.2	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX921/D0UM2ACXX_2/INX921_D0UM2ACXX_2_CCTTAG.bam	DONE
LAFY30-5_DNA93	LAFY30-5	93	393	PTRI	LAFY	"Lafayette, Or"	30	C04	-123.083333	45.2	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX921/D0UM2ACXX_2/INX921_D0UM2ACXX_2_GAATAA.bam	DONE
LILB26-2_DNA94	LILB26-2	94	411	PTRI	LILB	Lillooet river/B	26	C03	-123.2	50.55	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX922/D0UM2ACXX_3/INX922_D0UM2ACXX_3_GCTCCA.bam	DONE
LNZK28-3_DNA95	LNZK28-3	95	419	PTRI	LNZK	Lantzville/K	28	C03	-124.066667	49.233333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX922/D0UM2ACXX_3/INX922_D0UM2ACXX_3_TCGAAG.bam	DONE
LNZK28-5_DNA96	LNZK28-5	96	421	PTRI	LNZK	Lantzville/K	28	C03	-124.066667	49.233333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX923/D0UM2ACXX_4/INX923_D0UM2ACXX_4_TTCTCC.bam	DONE
LONG29-1_DNA97	LONG29-1	97	422	PTRI	LONG	"Longview, Wa"	29	C04	-123.916667	46.083333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX923/D0UM2ACXX_4/INX923_D0UM2ACXX_4_GTGAAA.bam	DONE
LONG29-4_DNA99	LONG29-4	99	424	PTRI	LONG	"Longview, Wa"	29	C04	-123.916667	46.083333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX924/D0UM2ACXX_5/INX924_D0UM2ACXX_5_AAATGC.bam	DONE
LONG29-5_DNA100	LONG29-5	100	425	PTRI	LONG	"Longview, Wa"	29	C04	-123.916667	46.083333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX925/C0LE3ACXX_1/INX925_C0LE3ACXX_1_ACAAAC.bam	DONE
MCFA20-4_DNA101	MCFA20-4	101	468	PTRI	MCFA	McFee/B	20	C03	-126.233333	51.316667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX925/C0LE3ACXX_1/INX925_C0LE3ACXX_1_AGATAG.bam	DONE
MCFA20-6_DNA102	MCFA20-6	102	469	PTRI	MCFA	McFee/B	20	C03	-126.233333	51.316667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX926/D0UM2ACXX_6/INX926_D0UM2ACXX_6_ATGAGC.bam	DONE
MCGR15-7_DNA103	MCGR15-7	103	472	PTRI	MCGR	McGregor river	15	C02	-122	54.183333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX926/D0UM2ACXX_6/INX926_D0UM2ACXX_6_CATGGC.bam	DONE
MCHA19-1_DNA104	MCHA19-1	104	474	PTRI	MCHA	Machmell river/A	19	C03	-126.683333	51.633333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-29/INX927/C0LE3ACXX_2/INX927_C0LE3ACXX_2_CGAGAA.bam	DONE
MCHA19-3_DNA105	MCHA19-3	105	476	PTRI	MCHA	Machmell river/A	19	C03	-126.683333	51.633333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-29/INX927/C0LE3ACXX_2/INX927_C0LE3ACXX_2_GACGGA.bam	DONE
MCHB19-1_DNA106	MCHB19-1	106	479	PTRI	MCHB	Machmell river/B	19	C03	-126.583333	51.616667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX928/C0LE3ACXX_3/INX928_C0LE3ACXX_3_GGCACA.bam	DONE
MCHB19-2_DNA107	MCHB19-2	107	480	PTRI	MCHB	Machmell river/B	19	C03	-126.583333	51.616667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX928/C0LE3ACXX_3/INX928_C0LE3ACXX_3_TCGGCA.bam	DONE
MEMA28-3_DNA108	MEMA28-3	108	502	PTRI	MEMA	Memekay river/A	28	C03	-125.8	50.216667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-05/INX929/C0LE3ACXX_4/INX929_C0LE3ACXX_4_AGGTTT.bam	DONE
MEMA28-4_DNA109	MEMA28-4	109	503	PTRI	MEMA	Memekay river/A	28	C03	-125.8	50.216667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-05/INX929/C0LE3ACXX_4/INX929_C0LE3ACXX_4_GTGGCC.bam	DONE
NBON29-1_DNA110	NBON29-1	110	549	PTRI	NBON	"N. Bonneville, Wa"	29	C04	-122	45.583333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX930/C0LE3ACXX_5/INX930_C0LE3ACXX_5_CGTACG.bam	DONE
NHTB27-2_DNA112	NHTB27-2	112	555	PTRI	NHTB	Nahatlatch river/B	27	C03	-121.816667	49.966667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX930/C0LE3ACXX_5/INX930_C0LE3ACXX_5_ACTTGA.bam	DONE
NHTB27-5_DNA113	NHTB27-5	113	556	PTRI	NHTB	Nahatlatch river/B	27	C03	-121.816667	49.966667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX931/C0LE3ACXX_6/INX931_C0LE3ACXX_6_ACATCT.bam	DONE
PHLA22-4_DNA115	PHLA22-4	115	591	PTRI	PHLA	Phillips river/A	22	C03	-125.316667	50.6	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-05/INX932/C0LE3ACXX_7/INX932_C0LE3ACXX_7_ATTCCT.bam	DONE
PHLC22-3_DNA116	PHLC22-3	116	595	PTRI	PHLC	Phillips river/C	22	C03	-125.25	50.683333	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-05/INX932/C0LE3ACXX_7/INX932_C0LE3ACXX_7_CATTTT.bam	DONE
QFRS16-2_DNA118	QFRS16-2	118	640	PTRI	QFRS	Fraser river	16	C02	-122.516667	53.066667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-03-28/INX933/C0LE3ACXX_8/INX933_C0LE3ACXX_8_GATATA.bam	DONE
QFRS16-4_DNA119	QFRS16-4	119	642	PTRI	QFRS	Fraser river	16	C02	-122.516667	53.066667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX934/D0UJNACXX_1/INX934_D0UJNACXX_1_ATCACG.bam	DONE
QLKE16-1_DNA120	QLKE16-1	120	644	PTRI	QLKE	Quesnel lake	16	C02	-122.316667	52.966667	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX934/D0UJNACXX_1/INX934_D0UJNACXX_1_GATCAG.bam	DONE
ALAA20-1_DNA121	ALAA20-1	121	1	PTRI	ALAA	Atlatzi river/A	20	C03	-126.116667	50.983333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX935/D0UJNACXX_2/INX935_D0UJNACXX_2_AACCCC.bam	DONE
BELA18-2_DNA125	BELA18-2	125	22	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX936/D0UJNACXX_3/INX936_D0UJNACXX_3_CAAAAG.bam	DONE
BELA18-5_DNA126	BELA18-5	126	25	PTRI	BELA	Bella Coola river/A	18	C03	-126.166667	52.416667	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX937/D0UJNACXX_4/INX937_D0UJNACXX_4_CCAACA.bam	DONE
BELC18-1_DNA127	BELC18-1	127	26	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX937/D0UJNACXX_4/INX937_D0UJNACXX_4_CTAGCT.bam	DONE
BELC18-2_DNA128	BELC18-2	128	27	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX938/D0UJNACXX_5/INX938_D0UJNACXX_5_GATGCT.bam	DONE
BELC18-4_DNA129	BELC18-4	129	29	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX938/D0UJNACXX_5/INX938_D0UJNACXX_5_TAATCG.bam	DONE
BELC18-5_DNA130	BELC18-5	130	30	PTRI	BELC	Bella Coola river/C	18	C03	-126.6	52.383333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX939/D0UJNACXX_6/INX939_D0UJNACXX_6_TGAATG.bam	DONE
CARS29-2_DNA131	CARS29-2	131	80	PTRI	CARS	"Carson, Wa"	29	C04	-122.833333	45.75	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX939/D0UJNACXX_6/INX939_D0UJNACXX_6_AGTTCC.bam	DONE
CHIL14-2_DNA133	CHIL14-2	133	87	PTRI	CHIL	Chilako river	14	C01	-122.983333	53.883333	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-02/INX940/D0UJNACXX_7/INX940_D0UJNACXX_7_TAGCTT.bam	DONE
