1file_id	2sample	3DNA_code	4ADM_#	5SPECIES	6POP_CODE	7POPNAME	8POP#	9GROUP	10LONG	11LAT	12server	13path	14plastome
SO571SL_DNA746	SO571SL	746	726	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-24/IX1825/C2NBUACXX_5/IX1825_C2NBUACXX_5_AGCATC.bam	DONE
SO589SL_DNA747	SO589SL	747	730	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-09-25/IX0837/D17VVACXX_8/IX0837_D17VVACXX_8_ATTCCT.bam	DONE
SO568SL_DNA748	SO568SL	748	725	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-24/IX1826/C2NBUACXX_6/IX1826_C2NBUACXX_6_CATTTT.bam	DONE
SO530SL_DNA749	SO530SL	749	721	PDEL	DELT_GW	DELT_GW	DELT_GW	A03	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0852/C13N9ACXX_2/IX0852_C13N9ACXX_2_CGGAAT.bam	DONE
Pdel105ULethM_DNA750	Pdel105ULethM	750	585	PDEL	DELT	DELT	DELT	A02	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-12/IX0978/C14ERACXX_5/IX0978_C14ERACXX_5_TCGGCA.bam	DONE
Pdel31ULethF_DNA772	Pdel31ULethF	772	586	PDEL	DELT	DELT	DELT	A02	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0983/D18W4ACXX_5/IX0983_D18W4ACXX_5_GGCCTG.bam	DONE
Pfre186_DNA215	Pfre186	215	618	PFRE	FREM	FREM	FREM	A04	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-10/INX975/D0U7RACXX_8/INX975_D0U7RACXX_8_GTGGCC.bam	DONE
Pf13012701_DNA1143	Pf13012701	1143	614	PFRE	FREM	FREM	FREM	A04	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2052/C2PVTACXX_8/IX2052_C2PVTACXX_8_ATTCCT.bam	DONE
Pf13020101_DNA1144	Pf13020101	1144	615	PFRE	FREM	FREM	FREM	A04	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2051/C2PVTACXX_7/IX2051_C2PVTACXX_7_CATTTT.bam	DONE
Pf13020201_DNA1146	Pf13020201	1146	616	PFRE	FREM	FREM	FREM	A04	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-12-04/IX2053/C34R9ACXX_1/IX2053_C34R9ACXX_1_GATATA.bam	DONE
Pf13020303_DNA1149	Pf13020303	1149	617	PFRE	FREM	FREM	FREM	A04	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2050/C2PVTACXX_6/IX2050_C2PVTACXX_6_AGTCAA.bam	DONE
Phet206_DNA218	Phet206	218	619	PHET	HETE	HETE	HETE	A01	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-04-11/INX976/C0KV7ACXX_3/INX976_C0KV7ACXX_3_CGTACG.bam	DONE
PhetA_Coll2012_DNA1040	PhetA_Coll2012	1040	620	PHET	HETE	HETE	HETE	A01	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-06/IX2052/C2PVTACXX_8/IX2052_C2PVTACXX_8_AGGTTT.bam	DONE
PhetB_Coll2012_DNA1041	PhetB_Coll2012	1041	621	PHET	HETE	HETE	HETE	A01	NA	NA	east	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-12-04/IX2053/C34R9ACXX_1/IX2053_C34R9ACXX_1_ACTTGA.bam	DONE
PhetC_Davies2001_DNA1042	PhetC_Davies2001	1042	622	PHET	HETE	HETE	HETE	A01	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-11-29/IX2054/C34BNACXX_4/IX2054_C34BNACXX_4_CGTACG.bam	DONE
PhetD_ABG2011_DNA1129	PhetD_ABG2011	1129	623	PHET	HETE	HETE	HETE	A01	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2013-10-24/IX2055/C2NAMACXX_5/IX2055_C2NAMACXX_5_ACATCT.bam	DONE
Phet180_DNA774Z	Phet180	774Z	587	PHET	HETE	HETE	HETE	A01	NA	NA	west	/data/raid50/GalaxyData/Populus/PopulusTrichocarpa/DNA/2012-10-11/IX0984/D18W4ACXX_6/IX0984_D18W4ACXX_6_AGTCAA.bam	DONE
